MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS
2,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0
4,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0
6,1,3,33.3,0,1,0,0,0,0,0,2,2,1,1,0,1,0,2
8,1,3,33.3,0,1,0,0,0,0,0,4,4,1,1,0,1,0,2
10,1,3,33.3,0,1,0,0,0,0,0,4,4,1,1,0,1,0,2
12,1,3,33.3,0,1,0,0,0,0,0,4,4,1,1,0,1,0,2
14,2,4,50,1,2,50,0,0,0,0,5,5,1,1,0,1,0,5
16,2,4,50,1,2,50,0,0,0,0,5,5,1,2,0,1,0,5
18,2,5,40,1,3,33.3,0,0,0,0,6,6,1,2,0,2,0,5
20,2,5,40,1,3,33.3,0,0,0,0,6,6,1,2,0,2,0,5
22,2,5,40,1,3,33.3,0,0,0,0,6,6,1,2,0,2,0,5
24,2,6,33.3,1,3,33.3,0,0,0,0,6,6,1,2,0,2,0,5
26,2,6,33.3,1,3,33.3,0,0,0,0,7,7,1,2,0,2,1,5
28,3,7,42.9,2,4,50,0,0,0,0,7,7,1,2,0,2,1,8
30,3,7,42.9,2,4,50,0,0,0,1,7,8,3,2,0,2,1,8
32,4,8,50,2,4,50,0,0,0,2,7,9,4,2,0,2,1,10
34,4,8,50,2,4,50,0,0,0,2,7,9,4,2,0,2,2,10
36,4,8,50,2,4,50,0,0,0,2,7,9,4,2,0,2,2,10
38,4,8,50,2,4,50,0,0,0,2,7,9,4,2,0,2,2,10
40,4,8,50,2,4,50,0,0,0,2,7,9,4,2,0,2,3,10
42,4,8,50,2,4,50,0,0,0,2,7,9,4,2,0,2,3,10
44,4,8,50,2,4,50,0,0,0,2,7,9,4,2,0,2,3,10
46,4,8,50,2,4,50,0,0,0,2,8,10,4,2,0,2,4,10
48,4,8,50,2,4,50,0,0,0,2,8,10,4,2,0,2,4,10
