PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,PTS
Jayson Tatum,29,2,9,22.2,0,2,0,0,0,0,0,7,7,3,1,4,1,3,11,4
Al Horford,35,7,11,63.6,1,1,100,1,2,50,1,4,5,4,0,2,0,2,14,16
Aron Baynes,23,3,6,50,0,0,0,0,0,0,4,2,6,1,0,0,2,2,4,6
Jaylen Brown,33,12,22,54.5,5,12,41.7,1,2,50,2,3,5,1,1,0,0,2,17,30
Terry Rozier,37,8,14,57.1,3,5,60,4,4,100,0,3,3,8,0,1,1,2,19,23
Guerschon Yabusele,10,0,2,0,0,2,0,0,0,0,1,2,3,1,0,2,0,1,-3,0
Marcus Morris,30,6,11,54.5,3,6,50,3,7,42.9,0,5,5,1,1,1,0,1,19,18
Greg Monroe,16,5,7,71.4,0,0,0,2,3,66.7,1,3,4,2,2,0,1,1,1,12
Shane Larkin,20,5,8,62.5,1,3,33.3,0,0,0,0,0,0,3,0,0,0,2,-8,11
Abdel Nader,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2,0
Semi Ojeleye,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0
TOTAL,240,48,90,53.3,13,31,41.9,11,18,61.1,9,29,38,24,5,10,6,16,14,120
