PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,PTS
Jayson Tatum,32,6,14,42.9,2,6,33.3,8,9,88.9,0,3,3,3,3,2,0,3,-7,22
Semi Ojeleye,21,0,1,0,0,1,0,0,0,0,1,3,4,0,0,0,0,1,-2,0
Al Horford,33,4,8,50,2,4,50,0,0,0,2,8,10,4,2,0,2,4,-6,10
Jaylen Brown,40,6,15,40,1,6,16.7,1,3,33.3,0,5,5,0,2,0,1,5,-7,14
Terry Rozier,37,5,17,29.4,4,12,33.3,2,2,100,1,6,7,5,1,1,0,3,-10,16
Marcus Morris,26,5,14,35.7,1,4,25,3,3,100,0,1,1,2,0,0,0,2,-8,14
Marcus Smart,26,2,9,22.2,0,3,0,2,2,100,0,2,2,1,1,0,0,1,-14,6
Aron Baynes,9,1,1,100,0,0,0,0,0,0,1,3,4,1,0,0,0,0,-2,2
Shane Larkin,9,1,1,100,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,2
Greg Monroe,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Abdel Nader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guerschon Yabusele,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
TOTAL,240,30,81,37,10,36,27.8,16,19,84.2,6,33,39,18,9,3,3,19,-11,86
