PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,PTS
Jayson Tatum,32,5,13,38.5,3,8,37.5,7,8,87.5,0,2,2,2,3,3,1,0,11,20
Al Horford,36,6,9,66.7,1,1,100,2,2,100,2,3,5,5,1,2,1,4,9,15
Aron Baynes,22,6,10,60,0,1,0,0,0,0,2,2,4,2,1,0,0,1,-2,12
Jaylen Brown,36,9,15,60,1,3,33.3,5,7,71.4,1,3,4,2,3,2,1,2,0,24
Kadeem Allen,22,1,4,25,0,2,0,0,0,0,0,1,1,2,1,1,1,4,-7,2
Marcus Morris,33,4,16,25,1,6,16.7,4,5,80,0,3,3,3,5,1,0,3,-11,13
Semi Ojeleye,18,1,1,100,0,0,0,0,0,0,2,3,5,0,0,0,0,3,-7,2
Greg Monroe,23,4,9,44.4,0,0,0,1,2,50,2,8,10,2,3,1,1,0,-7,9
Guerschon Yabusele,4,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,-1,0
Abdel Nader,10,2,3,66.7,1,1,100,0,0,0,0,2,2,1,0,0,1,0,-5,5
Jabari Bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Silas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,240,38,81,46.9,7,23,30.4,19,24,79.2,10,27,37,19,17,10,6,17,-4,102
