PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,PTS
Jayson Tatum,32,5,6,83.3,4,5,80,3,4,75,0,6,6,0,1,0,0,1,8,17
Al Horford,34,8,10,80,1,2,50,3,4,75,2,7,9,8,2,0,1,4,21,20
Aron Baynes,15,3,6,50,0,0,0,4,4,100,2,2,4,2,0,0,1,3,6,10
Jaylen Brown,22,4,9,44.4,0,2,0,0,0,0,3,4,7,2,1,0,0,3,6,8
Kyrie Irving,33,13,24,54.2,2,4,50,4,5,80,1,3,4,1,3,2,0,2,0,32
Marcus Smart,29,3,8,37.5,1,3,33.3,1,2,50,0,4,4,7,4,1,0,3,3,8
Marcus Morris,24,1,6,16.7,1,3,33.3,0,0,0,0,6,6,2,1,1,0,1,2,3
Terry Rozier,24,3,5,60,1,2,50,0,0,0,0,4,4,1,0,1,0,2,15,7
Daniel Theis,10,3,4,75,0,1,0,0,0,0,0,1,1,0,1,0,1,0,-1,6
Semi Ojeleye,12,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,-5,0
Shane Larkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdel Nader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guerschon Yabusele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,240,43,78,55.1,10,22,45.4,15,19,78.9,8,37,45,25,14,5,3,20,11,111
