MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS
2,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
4,1,3,33.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
6,1,3,33.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
8,1,3,33.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
10,1,3,33.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
12,1,3,33.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
14,1,3,33.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
16,1,3,33.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
18,1,3,33.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
20,1,3,33.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
22,1,3,33.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
24,1,3,33.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
26,1,4,25,0,1,0,0,0,0,0,1,1,0,0,0,0,2,2
28,1,5,20,0,1,0,0,0,0,0,1,1,0,0,0,0,2,2
30,3,8,37.5,1,3,33.3,0,0,0,0,2,2,0,0,0,0,2,7
32,4,9,44.4,1,3,33.3,0,0,0,0,2,2,0,0,0,1,3,9
34,4,9,44.4,1,3,33.3,0,0,0,0,2,2,0,1,0,1,3,9
36,4,10,40,1,4,25,0,0,0,0,4,4,0,2,0,1,3,9
38,4,10,40,1,4,25,0,0,0,0,4,4,0,2,0,1,3,9
40,5,11,45.5,1,4,25,1,3,33.3,0,5,5,0,2,0,1,3,12
42,5,11,45.4,1,4,25,1,3,33.3,0,5,5,0,2,0,1,3,12
44,5,13,38.5,1,5,20,1,3,33.3,0,5,5,0,2,0,1,4,12
46,5,14,35.7,1,6,16.7,1,3,33.3,0,5,5,0,2,0,1,4,12
48,6,15,40,1,6,16.7,1,3,33.3,0,5,5,0,2,0,1,5,14
