MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
6,1,1,100,0,0,0,1,1,100,0,1,1,1,0,0,0,1,3
8,1,1,100,0,0,0,1,1,100,0,1,1,1,0,0,0,1,3
10,1,1,100,0,0,0,1,1,100,0,1,1,1,0,0,0,1,3
12,1,2,50,0,1,0,1,1,100,0,1,1,1,0,0,0,1,3
14,1,3,33.3,0,1,0,1,1,100,0,1,1,1,0,0,0,1,3
16,1,3,33.3,0,1,0,1,1,100,0,1,1,1,0,0,0,1,3
18,1,4,25,0,2,0,1,1,100,0,1,1,1,1,1,0,1,3
20,2,5,40,1,3,33.3,1,1,100,0,1,1,2,2,2,0,1,6
22,2,6,33.3,1,3,33.3,1,1,100,0,1,1,2,2,2,0,1,6
24,2,6,33.3,1,3,33.3,1,1,100,0,1,1,2,2,2,0,1,6
26,2,7,28.6,1,3,33.3,1,1,100,0,1,1,2,2,2,0,2,6
28,2,7,28.6,1,3,33.3,3,3,100,0,1,1,2,2,2,0,2,8
30,3,8,37.5,1,3,33.3,5,5,100,0,2,2,2,2,2,0,2,12
32,4,9,44.4,1,3,33.3,5,6,83.3,0,3,3,3,2,2,0,2,14
34,4,10,40,1,3,33.3,5,6,83.3,0,3,3,3,2,2,0,2,14
36,4,10,40,1,3,33.3,7,8,87.5,0,3,3,3,2,2,0,2,16
38,4,10,40,1,3,33.3,7,8,87.5,0,3,3,3,2,2,0,2,16
40,4,10,40,1,3,33.3,7,8,87.5,0,3,3,3,2,2,0,2,16
42,4,10,40,1,3,33.3,7,8,87.5,0,3,3,3,2,2,0,2,16
44,5,11,45.5,2,4,50,7,8,87.5,0,3,3,3,2,2,0,2,19
46,5,12,41.7,2,5,40,7,8,87.5,0,3,3,3,3,2,0,3,19
48,6,14,42.9,2,6,33.3,8,9,88.9,0,3,3,3,3,2,0,3,22
