MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,1,1,100,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
12,1,3,33.3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2
14,1,4,25,0,1,0,0,0,0,0,1,1,2,0,0,0,0,2
16,2,5,40,0,1,0,0,0,0,0,1,1,2,0,0,0,0,4
18,2,5,40,0,1,0,0,0,0,0,1,1,2,0,0,0,1,4
20,2,5,40,0,1,0,0,0,0,0,1,1,2,0,0,0,1,4
22,2,5,40,0,1,0,0,0,0,0,1,1,2,0,0,0,1,4
24,2,5,40,0,1,0,0,0,0,0,1,1,2,0,0,0,1,4
26,2,5,40,0,1,0,0,0,0,0,1,1,2,0,0,0,1,4
28,2,5,40,0,1,0,0,0,0,0,1,1,2,0,0,0,1,4
30,2,5,40,0,1,0,0,0,0,0,1,1,2,0,0,0,1,4
32,2,5,40,0,1,0,0,0,0,0,1,1,2,0,0,0,1,4
34,2,5,40,0,1,0,0,0,0,0,1,1,2,0,0,0,1,4
36,2,7,28.6,0,1,0,0,0,0,0,1,1,2,0,0,0,1,4
38,4,11,36.4,0,2,0,1,1,100,0,1,1,2,0,0,0,1,9
40,4,12,33.3,0,2,0,1,1,100,0,1,1,2,0,0,0,2,9
42,5,13,38.5,1,3,33.3,1,1,100,0,1,1,2,0,0,0,2,12
44,5,14,35.7,1,4,24,1,1,100,0,1,1,2,0,0,0,2,12
46,5,14,35.7,1,4,25,1,1,100,0,1,1,2,0,0,0,2,12
48,5,14,35.7,1,4,25,3,3,100,0,1,1,2,0,0,0,2,12
