MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,1,0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,2
10,0,1,0,0,0,0,2,2,100,0,0,0,1,0,0,0,0,2
12,0,1,0,0,0,0,2,2,100,0,0,0,1,0,0,0,0,2
14,0,1,0,0,0,0,2,2,100,0,0,0,1,0,0,0,0,2
16,0,2,0,0,1,0,2,2,100,0,0,0,1,0,0,0,0,2
18,0,3,0,0,2,0,2,2,100,0,0,0,1,0,0,0,0,2
20,0,3,0,0,2,0,2,2,100,0,0,0,1,0,0,0,0,2
22,0,4,0,0,2,0,2,2,100,0,0,0,1,1,0,0,0,2
24,1,5,20,0,2,0,2,2,100,0,0,0,1,1,0,0,1,4
26,1,5,20,0,2,0,2,2,100,0,0,0,1,1,0,0,1,4
28,1,5,20,0,2,0,2,2,100,0,0,0,1,1,0,0,1,4
30,1,5,20,0,2,0,2,2,100,0,0,0,1,1,0,0,1,4
32,1,5,20,0,2,0,2,2,100,0,0,0,1,1,0,0,1,4
34,1,5,20,0,2,0,2,2,100,0,0,0,1,1,0,0,1,4
36,1,5,20,0,2,0,2,2,100,0,0,0,1,1,0,0,1,4
38,1,5,20,0,2,0,2,2,100,0,0,0,1,1,0,0,1,4
40,2,6,33.3,0,2,0,2,2,100,0,2,2,1,1,0,0,1,6
42,2,7,28.6,0,2,0,2,2,100,0,2,2,1,1,0,0,1,6
44,2,8,25,0,2,0,2,2,100,0,2,2,1,1,0,0,1,6
46,2,9,22.2,0,3,0,2,2,100,0,2,2,1,1,0,0,1,6
48,2,9,22.2,0,3,0,2,2,100,0,2,2,1,1,0,0,1,6
