PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,PTS
Jaylen Brown,28,6,11,54.5,2,3,66.7,4,5,80,1,4,5,3,0,0,0,6,0,18
Jayson Tatum,36,3,7,42.9,0,1,0,2,5,40,2,7,9,2,2,1,0,3,-15,8
Al Horford,33,6,11,54.5,0,2,0,1,1,100,1,5,6,4,2,3,2,3,1,13
Marcus Smart,32,4,13,30.8,3,7,42.9,1,6,16.7,3,4,7,4,3,3,0,4,-4,12
Kyrie Irving,38,7,25,28,2,7,28.6,1,2,50,1,3,4,3,3,3,0,1,-2,17
Abdel Nader,11,2,4,50,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-4,4
Terry Rozier,26,6,12,50,3,5,60,0,0,0,0,7,7,6,0,2,0,4,-11,15
Aron Baynes,15,2,3,66.7,0,0,0,0,0,0,1,1,2,0,0,0,0,4,-7,4
Daniel Theis,4,2,3,66.7,0,0,0,2,2,100,2,0,2,0,1,0,0,1,2,6
Semi Ojeleye,11,1,2,50,1,2,50,0,0,0,0,1,1,0,1,0,0,0,0,3
Jabari Bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Larkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guerschon Yabusele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,240,39,91,42.9,11,28,39.3,11,21,52.4,11,32,43,23,12,12,2,27,-8,100
