PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,PTS
Jayson Tatum,27,3,6,50,1,3,33.3,5,5,100,0,2,2,3,2,1,0,1,8,12
Al Horford,34,11,14,78.6,4,5,80,1,1,100,1,8,9,4,4,0,1,2,2,27
Daniel Theis,18,0,1,0,0,0,0,0,0,0,0,5,5,1,2,0,1,4,1,0
Jaylen Brown,34,2,10,20,2,6,33.3,3,6,50,3,6,9,0,1,1,1,1,5,9
Kyrie Irving,34,10,18,55.6,2,4,50,2,2,100,0,3,3,7,2,2,1,3,4,24
Marcus Smart,26,2,10,20,2,6,33.3,2,2,100,0,1,1,4,2,1,0,1,7,8
Aron Baynes,23,3,6,50,0,0,0,6,6,100,0,7,7,1,2,0,0,2,12,12
Terry Rozier,20,2,9,22.2,0,3,0,0,0,0,1,6,7,0,0,2,0,0,1,4
Shane Larkin,5,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,-3,0
Semi Ojeleye,13,0,2,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,-2,0
Jabari Bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdel Nader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guerschon Yabusele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,240,33,78,42.3,11,30,36.7,19,22,86.4,6,39,45,21,15,7,4,14,7,96
