MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,2,50,1,1,100,0,0,0,1,0,1,0,0,1,0,0,3
6,1,2,50,1,1,100,0,0,0,1,1,2,0,1,1,0,0,3
8,2,3,66.7,1,1,100,0,0,0,1,1,2,0,1,1,0,0,5
10,4,5,80,3,3,100,0,0,0,1,1,2,1,1,1,0,0,11
12,4,6,66.7,3,4,75,0,0,0,1,2,3,1,1,1,0,0,11
14,4,6,66.7,3,4,75,0,0,0,1,2,3,1,1,1,0,0,11
16,4,6,66.7,3,4,75,0,0,0,1,2,3,1,1,1,0,0,11
18,4,6,66.7,3,4,75,0,0,0,1,2,3,1,1,1,0,0,11
20,5,7,71.4,4,5,80,0,0,0,1,2,3,1,1,1,0,0,14
22,5,9,55.6,4,6,66.7,0,0,0,1,3,4,1,1,1,0,0,14
24,5,11,45.5,4,7,57.1,0,0,0,1,4,5,2,1,1,0,0,14
26,5,11,45.5,4,7,57.1,2,2,100,1,4,5,2,1,1,0,0,16
28,5,11,45.5,4,7,57.1,2,2,100,1,4,5,3,1,1,0,1,16
30,5,12,41.7,4,8,50,2,2,100,1,4,5,3,1,1,0,2,16
32,5,13,38.5,4,9,44.4,2,2,100,1,5,6,3,1,1,0,2,16
34,4,14,35.7,4,9,44.4,2,2,100,1,5,6,3,1,1,0,2,16
36,4,14,35.7,4,9,44.4,2,2,100,1,5,6,3,1,1,0,2,16
38,4,14,35.7,4,9,44.4,2,2,100,1,5,6,3,1,1,0,2,16
40,4,14,35.7,4,9,44.4,2,2,100,1,5,6,4,1,1,0,2,16
42,5,15,33.3,4,10,40,2,2,100,1,5,6,4,1,1,0,2,16
44,5,15,33.3,4,10,40,2,2,100,1,6,7,4,1,1,0,2,16
46,5,16,31.3,4,11,36.4,2,2,100,1,6,7,4,1,1,0,2,16
48,5,17,29.4,4,12,33.3,2,2,100,1,6,7,5,1,1,0,3,16
