"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","5 minues into the third quarter, ZERO fast break points. The fuck Celtics?! Come on Now!",FALSE,0,NA,2018-04-27 01:42:09,FALSE,NA,"989681069472538624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","honaljion",0,FALSE,FALSE,NA,NA
"2","Sixers preparing for increased intensity as Bucks-Celtics NBA playoff series plays out. https://t.co/kBpraVj1Mj",FALSE,0,NA,2018-04-27 01:42:08,FALSE,NA,"989681066641362945",NA,"<a href=""http://radio3.io/"" rel=""nofollow"">radio3.io</a>","nbariver",0,FALSE,FALSE,NA,NA
"3","RT @nbaayy: jabari parker comes in the game and forgot that everyone is switching. celtics layup. bucks timeout",FALSE,0,NA,2018-04-27 01:42:08,FALSE,NA,"989681065911640064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fritzoanalysis",1,TRUE,FALSE,NA,NA
"4","RT @celtics: Halftime: Bucks 48, Celtics 39.

Terry Rozier continues to lead the game in scoring with 14 points, but a late second-quarter…",FALSE,0,NA,2018-04-27 01:42:07,FALSE,NA,"989681063617232896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FatDawg___",76,TRUE,FALSE,NA,NA
"5","Maker 4 middleton 3 faul. Su çeyrek 5 - 4 olmazlarsan isimiz yas",FALSE,0,NA,2018-04-27 01:42:07,FALSE,NA,"989681062342283264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Celtics_Tr",0,FALSE,FALSE,NA,NA
"6","GO CELTICS!! <ed><U+00A0><U+00BC><ed><U+00BE><U+0089>

#NBAONABSCBN https://t.co/tNdSNnGU0k",FALSE,0,NA,2018-04-27 01:42:06,FALSE,NA,"989681058948890624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dominic_jay20",0,FALSE,FALSE,NA,NA
"7","Celtics bailed out by the end of the quarter once again",FALSE,0,NA,2018-04-27 01:42:06,FALSE,NA,"989681057367838724",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrianSampsonNBA",0,FALSE,FALSE,NA,NA
"8","7:19 3ºQ - #Celtics 50 x 57 #FearTheDeer 

#CUsRise  #NBAnaSportTV",FALSE,1,NA,2018-04-27 01:42:05,FALSE,NA,"989681054570242048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","torcidacelta",0,FALSE,FALSE,NA,NA
"9","RT @celtics: Pregaming game 6<U+FE0F><U+20E3> https://t.co/l3zD5mTlxN",FALSE,0,NA,2018-04-27 01:42:05,FALSE,NA,"989681053940973570",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sclu_beenDabbin",80,TRUE,FALSE,NA,NA
"10","RT @RealBillRussell: RT @ Follow me to qualify, Just a handful of days left before I pick from my #8straightgiveaway list &amp; send off anothe…",FALSE,0,NA,2018-04-27 01:42:05,FALSE,NA,"989681052707901443",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","graphingmase",125,TRUE,FALSE,NA,NA
